text,label
"Breaking news! Shocking conspiracy about moon landing exposed!",fake
"President announces new education policy in national address",real
"Viral rumor claims eating bananas cures COVID-19 completely",fake
"Scientists discover new species in Amazon rainforest",real
"Secret government experiment revealed - they don't want you to know!",fake
"Stock market shows positive growth this quarter",real
"Miracle cure for diabetes discovered by local doctor",fake
"International conference on climate change concludes",real
"Alien contact confirmed by NASA insiders",fake
"New technology reduces carbon emissions by 50%",real
"Celebrity death hoax spreads on social media",fake
"Economic survey indicates job growth in IT sector",real
"5G towers causing health issues - official report",fake
"Sports team wins championship after 20 years",real
"Vaccine contains microchips for tracking",fake